,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
1923,Worldgate Express Services Sdn Bhd,https://www.jobstreet.com.my/en/companies/442377-worldgate-express-services,3.4375,7,12,6,2,5,84%,65%,"No 42, Jalan Puteri 2/2, Bandar Puteri Puchong, 47100 Puchong",worldgate.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),"English, Chinese and Bahasa Malaysia","Regular hours, Mondays - Fridays"
1924,HSS Integrated Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/440924-hss-integrated,4.2188,14,13,4,0,1,84%,87%,"B1 (1-4) Block B, Plaza Dwitasik, No 21 Jalan 5/106, Bandar Sri Permaisuri, 56000 Kuala Lumpur.",No Info,51 - 200 Employees,No Info,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1925,Hospital Fatimah,https://www.jobstreet.com.my/en/companies/439445-hospital-fatimah,3.7813,15,7,3,2,5,71%,71%,"No. 1 Leboh Chew Peng Loon, Off Jalan Dato' Lau Pak Khuan, 31400 Ipoh, Perak, Malaysia",No Info,501 - 1000 Employees,Medical,Formal (e.g. Shirts + Ties),English,5 1/2  days week / Shifts
1926,Jimah O&M Sdn Bhd,https://www.jobstreet.com.my/en/companies/444154-jimah-onm,4.125,15,12,2,0,3,87%,90%,Jimah Power Plant Bagan Lalang Tanjong Sepat Selangor Malaysia,jimahev.com.my,501 - 1000 Employees,"Annual Bonus, Dental, Medical, Miscellaneous allowance, Parking, Sports (e.g. Gym)",Business (e.g. Shirts),Both Malay and English Language,"Regular hours, Mondays - Fridays"
1927,Lee Kum Kee (M) Foods Sdn Bhd,https://www.jobstreet.com.my/en/companies/446084-lee-kum-kee-m-foods,3.6563,7,16,4,1,4,96%,78%,"No 8, Jalan Halba 16/16, Seksyen 16, 40200 Shah Alam, Selangor, Malaysia",lkk.com,51 - 200 Employees,"Medical, Dental",Business Casual / Smart Casual,English,"Regular hours, Mondays - Fridays"
1928,Hacent Consultant Sdn Bhd,https://www.jobstreet.com.my/en/companies/455052-hacent-consultant,1.2813,0,0,3,3,26,21%,6%,"2nd Floor Wisma PPC,  Jalan DwiTasik 1, Dataran Dwi Tasik, Bandar Sri Permaisuri 56000 Kuala Lumpur",hacent.com.my,1 - 50 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1929,Bar Council Malaysia,https://www.jobstreet.com.my/en/companies/440759-bar-council-malaysia,4.0,15,9,4,1,3,75%,78%,"No. 2, Leboh Pasar Besar, 50050 Kuala Lumpur",malaysianbar.org.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Insurance, company trip",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
1930,BOOKXCESS SDN. BHD.,https://www.jobstreet.com.my/en/companies/464283-bookxcess,4.3125,17,9,5,1,0,93%,84%,Taman Alam Indah Shah Alam Selangor Malaysia,No Info,1 - 50 Employees,"EPF, SOCSO",Smart Casual,English,"Regular hours, Mondays - Fridays"
1931,Knight Frank Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/622520-knight-frank-malaysia,4.2813,20,6,3,1,2,90%,90%,"Suite 3.02 Menara Boustead Penang (formerly known as Menara PSCI), 39 Jalan Sultan Ahmad Shah, 10050 Penang, Malaysia",No Info,1 - 50 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1932,True Marketing Sdn Bhd,https://www.jobstreet.com.my/en/companies/453331-true-marketing,4.0625,14,11,4,1,2,71%,75%,cheras jaya selangor,No Info,1 - 50 Employees,No Info,No Info,No Info,No Info
1933,BD Agriculture (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/447856-bd-agriculture-malaysia,3.2813,8,7,7,6,4,84%,46%,"No. 9, Persiaran Astana / KU2, Bandar Bukit Raja, Klang, Selangor",No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Dental, Parking, Vision",Smart Casual,English,"Regular hours, Mondays - Fridays"
1934,Malaysian Bioeconomy Development Corporation Sdn Bhd (Bioeconomy Corporation),https://www.jobstreet.com.my/en/companies/618170-malaysian-bioeconomy-development-corporation-bioeconomy-corporation,3.7188,10,12,5,1,4,71%,78%,"Level 16, Menara Atlan, 161 Jalan Ampang, Kuala Lumpur, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",bioeconomycorporation.my,51 - 200 Employees,Miscellaneous allowance,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1935,BEIERSDORF (MALAYSIA) SDN BHD,https://www.jobstreet.com.my/en/companies/472937-beiersdorf-malaysia,3.0313,8,7,4,4,9,78%,46%,"PJ33, No 3, Jalan Professor Khoo Kay Kim, Seksyen 13, 46200, Petaling Jaya, Selangor",beiersdorf.com,51 - 200 Employees,"Medical, Dental, Sports (e.g. Gym), Parking, Vision, Group Insurance",Smart Casual,English,"Regular hours, Mondays - Fridays"
1936,Air Kelantan Sdn Bhd,https://www.jobstreet.com.my/en/companies/625173-air-kelantan,4.1563,13,12,6,1,0,75%,93%,No Info,No Info,501 - 1000 Employees,No Info,No Info,No Info,No Info
1937,SENTORIA GROUP BERHAD,https://www.jobstreet.com.my/en/companies/444694-sentoria-group-berhad,3.3548,9,8,6,1,7,87%,56%,"56 & 58, Jalan Dagang SB 4/2, 43300 Seri Kembangan Selangor Malaysia",sentoria.com.my,501 - 1000 Employees,"Medical, Miscellaneous allowance, Education support, Staff discount",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
1938,Petron Fuel International Sdn Bhd,https://www.jobstreet.com.my/en/companies/461484-petron-fuel-international,4.0,18,5,3,3,3,78%,68%,"Jalan Dungun, Bukit Damansara, 50490 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",petron.com.my,501 - 1000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1939,GrabFood and GrabExpress,https://www.jobstreet.com.my/en/companies/157969746421433-grabfood-and-grabexpress,4.625,25,4,2,0,1,90%,84%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
1940,LB Aluminium Berhad,https://www.jobstreet.com.my/en/companies/610118-lb-aluminium-berhad,3.8438,9,13,8,0,2,84%,75%,"Lot 11, Jalan Perusahaah 1, Kawasan Perusahaan Beranang, 43700 Beranang, Semenyih, Selangor",No Info,501 - 1000 Employees,"Medical, PA Insurance, Meal vouchers, Deduction of EPF & SOCSO",Corporate Uniforms,English,Regular hours
1941,Kementerian Dalam Negeri,https://www.jobstreet.com.my/en/companies/1220951-kementerian-dalam-negeri,4.5161,20,7,4,0,0,87%,87%,No Info,No Info,Not Specified,No Info,No Info,No Info,No Info
1942,Tentacle Tech,https://www.jobstreet.com.my/en/companies/451204-tentacle-tech,2.9375,9,6,3,2,12,71%,50%,Menara Atlas Jalan 4/83a Taman Bukit Pantai Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,tentacletech.com,201 - 500 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1943,Edgenta UEMS Sdn Bhd,https://www.jobstreet.com.my/en/companies/449579-edgenta-uems,3.4063,9,9,6,2,6,71%,65%,"Level 3, Menara UEM, Tower 1, Avenue 7, No. 8, Jalan Kerinchi, 59200 Kuala Lumpur.",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Insurance (TL, H&S & PA)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1944,Think Solutions,https://www.jobstreet.com.my/en/companies/446166-think-solutions,2.5484,3,10,2,2,14,81%,43%,Mid Valley City 59200 Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,No Info,1 - 50 Employees,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1945,Islamic Relief Malaysia,https://www.jobstreet.com.my/en/companies/621647-islamic-relief-malaysia,3.5313,14,5,2,6,5,59%,53%,"A-05-1, Paragon Point, Jalan Medan PB5, Seksyen 9, Pusat Bandar, 43650 Bandar Baru Bangi, Selangor",islamic-relief.org.my,1 - 50 Employees,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1946,Sanofi-Aventis (Malaysia) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/440633-sanofi-aventis-malaysia,4.5938,23,5,4,0,0,90%,90%,"1, Jalan Kemajuan, Seksyen 13, 46200 Petaling Jaya, Selangor, Malaysia",No Info,51 - 200 Employees,"Dental, Medical, Miscellaneous allowance, Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
1947,LTX Credence Sdn Bhd,https://www.jobstreet.com.my/en/companies/442065-ltx-credence,4.3438,20,7,3,0,2,90%,90%,"Plot 152, Bayan Lepas FTZ, Phase 1, Jalan Sultan Azlan, 11900 Penang.",multitest.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Parking, Vision, Medical and Insurance also covered employee's dependents",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1948,Dyson,https://www.jobstreet.com.my/en/companies/464558-dyson,4.2188,17,9,4,0,2,90%,87%,2 SCIENCE PARK DRIVE #03-13/26 ASCENT SINGAPORE (118222),No Info,More than 5000 Employees,Medical,Business (e.g. Shirts),No Info,"Regular hours, Mondays - Fridays"
1949,Suruhanjaya Tenaga,https://www.jobstreet.com.my/en/companies/442371-suruhanjaya-tenaga,4.375,18,11,1,1,1,100%,81%,"No. 12, Jalan Tun Hussein, Precinct 2, 62100 Putrajaya",st.gov.my,201 - 500 Employees,"Medical, Dental, Sports (e.g. Gym), Insurance",Formal (e.g. Shirts + Ties),Bahasa Malaysia and English,"Regular hours, Mondays - Fridays"
1950,Gimme4Fingers Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/657716-gimme4fingers-malaysia,4.0938,14,12,3,1,2,87%,81%,"Plaza Sentral, Jalan Sentral 5, Kuala Lumpur",No Info,201 - 500 Employees,"Medical, Dental, Annual Bonus",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1951,TK ELEVATOR MALAYSIA SDN. BHD.,https://www.jobstreet.com.my/en/companies/444790-tk-elevator-malaysia,3.5313,11,6,8,3,4,84%,46%,Bandar Sunway Petaling Jaya Selangor Malaysia,thyssenkrupp-elevator.com.my,201 - 500 Employees,"Medical, Education support, Dental, Parking, Vision, Hospital & Surgical, Personal Accident, Gratuity and Long service award.",Business (e.g. Shirts),English,Monday - Friday (8.15am - 5.00pm)
1952,OTC Cosmetic Industries Sdn Bhd,https://www.jobstreet.com.my/en/companies/985477-otc-cosmetic-industries,2.7419,12,2,0,0,17,62%,34%,"No 3, Jalan Industri Bukit Badong, Taman Industri Bukit Badong,45620 Ijok, Selangor",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance, Education support",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1953,Lalamove Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/1020136-lalamove-malaysia,4.1875,17,9,3,1,2,90%,78%,No Info,lalamove.com,1 - 50 Employees,No Info,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1954,Business Media International Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/612202-business-media-international,3.6563,16,4,4,1,7,68%,62%,"The Campus, Level 6, Menara Kelana Parkview Jalan SS6/2, 47301 Petaling Jaya - near Paradigm Mall Petaling Jaya - near Giant Mall Kelana Jaya",businessmedia.asia,51 - 200 Employees,"Medical, Miscellaneous allowance, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1955,MAS AWANA SERVICES SDN. BHD.,https://www.jobstreet.com.my/en/companies/1237701-mas-awana-services,4.5625,24,4,3,0,1,93%,87%,No Info,masawana.com,501 - 1000 Employees,"Medical, Miscellaneous allowance, Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
1956,Islamic Relief Malaysia,https://www.jobstreet.com.my/en/companies/621647-islamic-relief-malaysia,3.5313,14,5,2,6,5,59%,53%,"A-05-1, Paragon Point, Jalan Medan PB5, Seksyen 9, Pusat Bandar, 43650 Bandar Baru Bangi, Selangor",islamic-relief.org.my,1 - 50 Employees,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1957,LTX Credence Sdn Bhd,https://www.jobstreet.com.my/en/companies/442065-ltx-credence,4.3438,20,7,3,0,2,90%,90%,"Plot 152, Bayan Lepas FTZ, Phase 1, Jalan Sultan Azlan, 11900 Penang.",multitest.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Parking, Vision, Medical and Insurance also covered employee's dependents",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1958,Sanofi-Aventis (Malaysia) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/440633-sanofi-aventis-malaysia,4.5938,23,5,4,0,0,90%,90%,"1, Jalan Kemajuan, Seksyen 13, 46200 Petaling Jaya, Selangor, Malaysia",No Info,51 - 200 Employees,"Dental, Medical, Miscellaneous allowance, Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
1959,Season Malaysia Manufacturing Sdn Bhd,https://www.jobstreet.com.my/en/companies/439756-season-malaysia-manufacturing,3.375,12,6,2,6,6,81%,53%,Lorong Perusahaan 8A Perai Penang Malaysia,seasongroup.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Sports (e.g. Gym), Parking, PA , EPF & Socso, EIS",Business (e.g. Shirts),"Mandarin, Dialect, English","Regular hours, Mondays - Fridays"
1960,FCI Connectors Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/609790-fci-connectors-malaysia,3.8387,10,11,7,1,2,96%,62%,"PLO 205, Jalan Cyber 14, Kawasan Perindustrian Senai IV, 81400 Senai, Johor, Malaysia",amphenol-cs.com,501 - 1000 Employees,"Medical, Miscellaneous allowance, Dental, Parking, 13th months contractual bonus (staff only), group insurance, etc",Business (e.g. Shirts),"English, Bahasa Malaysia & Chinese","Regular hours, Mondays - Fridays"
1961,PMC Facilities & Real Estate Sdn Bhd,https://www.jobstreet.com.my/en/companies/832933-pmc-facilities-n-real-estate,4.0313,16,7,6,0,3,93%,90%,"No.13A, Jalan PJU 5/1, Kota Damansara PJU 5, Petaling Jaya 47810, Selangor.",pmcprop.com.my,51 - 200 Employees,Medical,Formal (e.g. Shirts + Ties),English,Mon - Fri (9am - 5pm) & Sat (9am - 1pm)
1962,Sportathlon (Malaysia) Sdn Bhd (Fitness First),https://www.jobstreet.com.my/en/companies/611534-sportathlon-malaysia-fitness-first,4.25,16,13,0,1,2,90%,84%,"Mont Kiara, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",fitnessfirst.com.my,501 - 1000 Employees,"Medical, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1963,Intercontinental Specialty Fats Sdn Bhd (ISF),https://www.jobstreet.com.my/en/companies/456233-intercontinental-specialty-fats-isf,3.3438,11,6,5,3,7,75%,56%,Lot 4 Solok Hishammudin 9/20 Kawasan Perusahaan Selat Klang Utara Port Klang Selangor Malaysia,No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Dental, Parking, Vision",Business Attire,English,Depends on Operation
1964,SEMLOUIS SDN BHD,https://www.jobstreet.com.my/en/companies/616141-semlouis,1.4688,0,1,5,2,24,15%,9%,"Plot 67, Lorong Perindustrian Bukit Minyak 14, Kawasan Perindustrian Bukit Minyak, MK13, 14100 Simpang Ampat, Pulau Pinang.",semlouis.com,1 - 50 Employees,"Medical, Miscellaneous allowance, Parking, Attendance allowance",Business (e.g. Shirts),Mandarin,Saturdays/Shift required
1965,WASCO COATINGS MALAYSIA SDN BHD(fka.PPSC Industries Sdn Bhd),https://www.jobstreet.com.my/en/companies/447236-wasco-coatings-malaysia-fkappsc-industries,3.9375,10,12,9,0,1,90%,84%,"Sub Lot 2, Kawasan Perindustrian MIEL,KM25 P.O.Box 240, Jalan Kuantan-Kemaman,25720 Kuantan,Pahang",wascoenergy.com,501 - 1000 Employees,"Medical, Education support, Dental, Vision",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1966,UTARA 5 FOOD AND BEVERAGE SDN. BHD.,https://www.jobstreet.com.my/en/companies/469057-utara-5-food-and-beverage,3.4063,7,7,11,6,1,81%,56%,3 Jalan PJU 3/48 Sunway Damansara Petaling Jaya Selangor Malaysia,boatnoodle.com.my,501 - 1000 Employees,"Medical, Training & Development",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1967,INTI International College Penang,https://www.jobstreet.com.my/en/companies/439628-inti-international-college-penang,3.4063,11,5,5,8,3,81%,50%,"I-Z, Persiaran Bukit Jambul, 11900 Bayan Lepas, Penang",newinti.edu.my,201 - 500 Employees,"Medical, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Vision, Term Life Insurance, Personal Accident Insurance, Awards and Recognitions","Monday to Thursday: Business, Friday: Smart Casual",English,"Regular hours, Mondays - Fridays"
1968,SEE SONG & SONS SDN. BHD.,https://www.jobstreet.com.my/en/companies/442271-see-song-n-sons,3.5313,11,9,5,0,7,81%,68%,"12-4, Jalan 2/114, Kuchai Business Centre, 58200 Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia",seesong.com.my,201 - 500 Employees,"Medical, Miscellaneous allowance, transports and accommodations","Business for office, overalls for sites",English,Mondays to Saturdays
1969,EpiCentre Lifestyle Sdn Bhd,https://www.jobstreet.com.my/en/companies/448879-epicentre-lifestyle,3.4688,4,14,10,1,3,59%,56%,"Central Plaza, 34 Jalan Sultan Ismail, 50250 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",epicentreasia.net,51 - 200 Employees,"Medical, Staff Purchase Discount, Bonus, Increment, Annual Dinner",Uniform,English,Shift
1970,Kudrat Partners & Co (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/445792-kudrat-partners-n-co-m,3.7419,13,9,2,2,5,71%,65%,"B02, Plaza Taragon Kelana, Jalan SS6/6, Kelana Jaya, 47301 Petaling Jaya",No Info,201 - 500 Employees,"Miscellaneous allowance, Participation in Group Insurance",Business (e.g. Shirts),English & Bahasa Malaysia,Monday-Saturday (1st Saturday Off)
1971,Teknion Furniture Systems (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/443026-teknion-furniture-systems-m,4.0625,12,14,3,2,1,93%,78%,"761, Jalan Haji Sirat, Off Jalan Meru 42100 Klang, Selangor",teknion.com,201 - 500 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1972,APTIV MALAYSIA SDN BHD,https://www.jobstreet.com.my/en/companies/455544-aptiv-malaysia,3.7813,10,11,6,4,1,68%,78%,"Kawasan Perindustrian Chendering, Kuala Terengganu, Terengganu, Malaysia",aptiv.com,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Parking",Company Uniform,English,"Regular hours, Mondays - Fridays"
1973,Dongwha Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/440870-dongwha-malaysia,3.9063,14,6,9,1,2,87%,78%,"Lot 3726, Nilai Industrial Estate, Mukim Setul, Daerah Seremban, 71800 Nilai, Negeri Sembilan",dongwha.com,201 - 500 Employees,"Medical, Dental, EPF & SOCSO",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1974,FrieslandCampina Service Centre Asia Pacific Sdn Bhd,https://www.jobstreet.com.my/en/companies/448505-frieslandcampina-service-centre-asia-pacific,2.375,5,4,3,6,14,75%,31%,"Quill 9, Petaling Jaya, Selangor, Malaysia",frieslandcampina.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vision, Fixed Allowance",Casual Smart,English,"Regular hours, Mondays - Fridays"
1975,Deloitte Consulting SEA,https://www.jobstreet.com.my/en/companies/441121-deloitte-consulting-sea,4.2813,20,7,1,2,2,96%,90%,"Menara LGB, No.1, Jalan Wan Kadir, Taman Tun Dr. Ismail, 60000 Kuala Lumpur",No Info,501 - 1000 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1976,Mulia Property Development Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/808011-mulia-property-development,3.125,10,5,3,7,7,84%,43%,"Level 5, Exchange 106, Lingkaran TRX, 55188 Tun Razak Exchange, Kuala Lumpur, Malaysia",exchange106.my,201 - 500 Employees,"Medical, Insurance - GTL, GHS & GPA",Business (e.g. Shirts),English,Mondays - Saturdays
1977,Gosford Leather Industries Sdn Bhd,https://www.jobstreet.com.my/en/companies/445661-gosford-leather-industries,3.0,11,5,1,3,12,62%,53%,"Lot 2052, Jalan Bayu 2/6, Taman Perindustrian Tampoi Jaya, 81200 JB, Johor, Malaysia",gosfordseat.com,201 - 500 Employees,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Mon - Fri (8am-5pm), Alternate Sat (8am-12pm)"
1978,AmBank Group,https://www.jobstreet.com.my/en/companies/629509-ambank-group,3.9375,15,8,4,2,3,90%,65%,Menara AmBank Jalan Yap Kwan Seng Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,No Info,More than 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Vision",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
1979,Scomi Oiltools Sdn Bhd,https://www.jobstreet.com.my/en/companies/445644-scomi-oiltools,4.0625,16,6,8,0,2,78%,87%,"First Avenue, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",No Info,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1980,Theta Technologies Sdn Bhd,https://www.jobstreet.com.my/en/companies/443291-theta-technologies,3.0,3,10,10,2,7,46%,50%,"A-3A-3A, Level 4 Block A, Oasis Square Office, Jalan PJU 1A/7A, Ara Damansara, 47301 Petaling Jaya, Selangor",No Info,51 - 200 Employees,"Dental, Medical, Miscellaneous allowance",Business (e.g. Shirts),English,Saturdays/Shift required
1981,MST Golf Sdn Bhd,https://www.jobstreet.com.my/en/companies/443257-mst-golf,3.7813,13,9,4,2,4,81%,68%,"8 Jalan SS 13/5, Subang Jaya Industrial Estate, 47500 Subang Jaya, Selangor, Malaysia",No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Parking, Recreation activities, staff purchase",Casual (e.g. T-shirts),English & Bahasa Malaysia,HQ - 5 days work; Outlet - 6 days work & shift
1982,Sherwin-Williams (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/439959-sherwin-williams-malaysia,4.3125,18,9,2,3,0,90%,90%,"Jalan Keluli 10, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor, Malaysia",sherwin-williams.com,51 - 200 Employees,"Medical, Education support, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1983,Alunan Asas Sdn Bhd,https://www.jobstreet.com.my/en/companies/443828-alunan-asas,3.8438,14,8,5,1,4,81%,75%,"No 131, Jalan Kenari 23A, Bandar Puchong Jaya, 47100 Puchong,  Selangor Darul Ehsan, Malaysia",No Info,51 - 200 Employees,"Medical, Dental, Vision",Casual (e.g. T-shirts),English,Mondays-Saturdays
1984,Nippon Paint (M)  Sdn Bhd,https://www.jobstreet.com.my/en/companies/443667-nippon-paint-m,4.2813,18,7,6,0,1,96%,78%,Jalan SU 4 Taman Perindustrian Subang Utama 40400 Shah Alam Selangor Malaysia,nipponpaint.com.my,501 - 1000 Employees,"Medical, Miscellaneous allowance, Loans, Dental, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1985,Electrolux Center of Excellence Asia Pacific (CoE APAC),https://www.jobstreet.com.my/en/companies/455926-electrolux-center-of-excellence-asia-pacific-coe-apac,3.0645,9,6,3,4,9,68%,50%,"8th Floor, Tower 2, PJ 33 No. 3, Jalan Professor Khoo Kay Kim, Seksyen 13 46100 Petaling Jaya, Selangor",linkedin.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Dental, Parking, Employer EPF @ 15%",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
